ID," ROBOT_X"," ROBOT_Y"," ANGLE"
5," 2.62591"," 0.902434"," 1.46505"
5," 2.62708"," 0.911496"," 1.46968"
5," 2.62872"," 0.923578"," 1.46968"
5," 2.63002"," 0.933048"," 1.46034"
5," 2.63122"," 0.93852"," 1.46034"
5," 2.63298"," 0.956789"," 1.46985"
5," 2.63466"," 0.970068"," 1.46985"
5," 2.63462"," 0.975671"," 1.46332"
5," 2.63511"," 0.979475"," 1.46332"
5," 2.63851"," 0.997463"," 1.45876"
5," 2.63989"," 1.00228"," 1.45876"
5," 2.64203"," 1.01886"," 1.45169"
5," 2.6436"," 1.02891"," 1.45169"
5," 2.64353"," 1.03298"," 1.45843"
5," 2.64384"," 1.03532"," 1.45843"
5," 2.64531"," 1.05064"," 1.45468"
5," 2.64557"," 1.05502"," 1.45468"
5," 2.64644"," 1.06888"," 1.45888"
5," 2.64718"," 1.07828"," 1.45888"
5," 2.64792"," 1.08405"," 1.44161"
5," 2.64867"," 1.09233"," 1.44161"
5," 2.65027"," 1.10084"," 1.45524"
5," 2.65083"," 1.10444"," 1.45524"
5," 2.65156"," 1.11655"," 1.46198"
5," 2.65233"," 1.12477"," 1.46198"
5," 2.65262"," 1.13182"," 1.45173"
5," 2.65323"," 1.13941"," 1.45173"
5," 2.65403"," 1.14667"," 1.44707"
5," 2.65423"," 1.14908"," 1.44707"
5," 2.65519"," 1.16095"," 1.46026"
5," 2.65591"," 1.16944"," 1.46026"
5," 2.65616"," 1.17557"," 1.44141"
5," 2.65629"," 1.17864"," 1.44141"
5," 2.65737"," 1.19066"," 1.44575"
5," 2.65766"," 1.19267"," 1.44575"
5," 2.65854"," 1.20464"," 1.45147"
5," 2.65911"," 1.21164"," 1.45147"
5," 2.66003"," 1.21676"," 1.45169"
5," 2.66051"," 1.21856"," 1.45169"
5," 2.66135"," 1.23087"," 1.45903"
5," 2.66119"," 1.23275"," 1.45903"
5," 2.66301"," 1.24398"," 1.44367"
5," 2.66344"," 1.24391"," 1.44367"
5," 2.66333"," 1.25115"," 1.53109"
5," 2.66071"," 1.2541"," 1.64023"
5," 2.65983"," 1.25804"," 1.64023"
5," 2.65815"," 1.25877"," 1.64023"
5," 2.65346"," 1.26238"," 1.76869"
5," 2.64963"," 1.26013"," 1.91564"
5," 2.64677"," 1.26083"," 1.91564"
5," 2.6419"," 1.25831"," 2.03509"
5," 2.63765"," 1.25765"," 2.03509"
5," 2.63136"," 1.25707"," 2.10487"
5," 2.62567"," 1.25638"," 2.10487"
5," 2.61723"," 1.25578"," 2.18264"
5," 2.61079"," 1.25517"," 2.18264"
5," 2.5992"," 1.25534"," 2.24074"
5," 2.58996"," 1.25504"," 2.24074"
5," 2.57871"," 1.25635"," 2.28222"
5," 2.56857"," 1.25671"," 2.28222"
5," 2.55687"," 1.25778"," 2.33106"
5," 2.54662"," 1.25838"," 2.33106"
5," 2.5339"," 1.259"," 2.39163"
5," 2.52147"," 1.25967"," 2.39163"
5," 2.50978"," 1.26034"," 2.43555"
5," 2.49618"," 1.26112"," 2.43555"
5," 2.4884"," 1.26194"," 2.48827"
5," 2.47601"," 1.26282"," 2.48827"
5," 2.46368"," 1.26407"," 2.53013"
5," 2.45016"," 1.2652"," 2.53013"
5," 2.42409"," 1.26652"," 2.56369"
5," 2.41406"," 1.26627"," 2.60061"
5," 2.4017"," 1.26669"," 2.60061"
5," 2.38824"," 1.2667"," 2.64126"
5," 2.3739"," 1.26698"," 2.64126"
5," 2.36106"," 1.26771"," 2.66373"
5," 2.34803"," 1.26819"," 2.66373"
5," 2.33532"," 1.26934"," 2.70295"
5," 2.32269"," 1.27006"," 2.70295"
5," 2.3081"," 1.27067"," 2.72812"
5," 2.2949"," 1.27133"," 2.72812"
5," 2.27987"," 1.27245"," 2.76331"
5," 2.2659"," 1.27334"," 2.76331"
5," 2.25355"," 1.2738"," 2.78484"
5," 2.24034"," 1.27449"," 2.78484"
5," 2.22687"," 1.27515"," 2.80394"
5," 2.21145"," 1.27596"," 2.80394"
5," 2.19849"," 1.27669"," 2.81836"
5," 2.18437"," 1.27741"," 2.81836"
5," 2.17013"," 1.27807"," 2.85336"
5," 2.15608"," 1.27877"," 2.85336"
5," 2.1409"," 1.28074"," 2.8644"
5," 2.12423"," 1.28212"," 2.8644"
5," 2.1106"," 1.28336"," 2.88212"
5," 2.09552"," 1.2846"," 2.88212"
5," 2.082"," 1.28518"," 2.89761"
5," 2.06723"," 1.28619"," 2.89761"
5," 2.05144"," 1.28736"," 2.9004"
5," 2.03706"," 1.28838"," 2.9004"
5," 2.02024"," 1.28836"," 2.90725"
5," 2.0051"," 1.28895"," 2.90725"
5," 1.99309"," 1.28873"," 2.92628"
5," 1.97666"," 1.2891"," 2.92628"
