X, Y, Z, Vx, Vy, Vz, T
1.973045144182081545e+00, -2.458351118513602884e+00, -5.313271436530868641e+02, 1.728414350247945874e+00, -2.414165320759791733e+00, -3.128164992185947568e+00, 6.069363331794738770e+01
1.946751202706346939e+00, -2.464439645927242850e+00, -5.313588033542310995e+02, 1.705000000000000071e+00, -2.414000000000000146e+00, -3.124699999999999811e+00, 6.073642134666442871e+01
1.917422854556510181e+00, -2.470876475089257784e+00, -5.313419876714990551e+02, 1.675372874979941251e+00, -2.413888986903856004e+00, -3.117513121947776966e+00, 6.077936816215515137e+01
1.889027643065759765e+00, -2.476960997139042941e+00, -5.314725315274494051e+02, 1.641853073544218500e+00, -2.414148893851292499e+00, -3.117197192639828529e+00, 6.082269835472106934e+01
1.864953293756405506e+00, -2.482712029612307525e+00, -5.316094967132266902e+02, 1.617899119357824489e+00, -2.414307054829006205e+00, -3.118689607947251474e+00, 6.086556625366210938e+01
1.837993505732323340e+00, -2.488442922834582127e+00, -5.317490817750596079e+02, 1.582558775318431143e+00, -2.415390324527673105e+00, -3.121390493452419701e+00, 6.090862536430358887e+01
1.814159288536476566e+00, -2.493245855684716350e+00, -5.317983548699851326e+02, 1.559984256274891123e+00, -2.415222139081840247e+00, -3.122794836859653422e+00, 6.095179533958435059e+01
1.789177368088886055e+00, -2.499088962641522915e+00, -5.319087645837072387e+02, 1.536019298091187313e+00, -2.415322000767488042e+00, -3.129802524577768530e+00, 6.099420118331909180e+01
1.763825026171382815e+00, -2.504778284789497267e+00, -5.317591176481913635e+02, 1.512509173666808371e+00, -2.417720558299797151e+00, -3.135070555164370276e+00, 6.103688836097717285e+01
1.739444472313558032e+00, -2.509731022389216637e+00, -5.317518719622678418e+02, 1.487783968602395923e+00, -2.420217953798513566e+00, -3.125331601762767697e+00, 6.108027672767639160e+01
1.717761581435051310e+00, -2.514076113659700962e+00, -5.318133582150300072e+02, 1.464495834672295604e+00, -2.420140752940373563e+00, -3.128473538924069430e+00, 6.112300586700439453e+01
1.694331095580138724e+00, -2.519907863132855752e+00, -5.318791237081209147e+02, 1.441999999999999948e+00, -2.418000000000000149e+00, -3.128299999999999859e+00, 6.116551780700683594e+01
1.673903420849772949e+00, -2.524488253609075361e+00, -5.316699889020420642e+02, 1.418686318740699503e+00, -2.419547279993567557e+00, -3.133876967330610164e+00, 6.120846533775329590e+01
1.653867309127746044e+00, -2.528420589272820873e+00, -5.316245782179802291e+02, 1.400789110012468530e+00, -2.420431726372895387e+00, -3.119070041011471783e+00, 6.125113129615783691e+01
1.631598390201428606e+00, -2.533330624450645274e+00, -5.317290131949076795e+02, 1.377434917209209742e+00, -2.420472837470609484e+00, -3.132099999999999884e+00, 6.129461526870727539e+01
1.610135506635649527e+00, -2.538759372263100556e+00, -5.316952619553946988e+02, 1.351208115683252275e+00, -2.422211811253268898e+00, -3.122884279483201908e+00, 6.133770871162414551e+01
1.588001527036411842e+00, -2.542955735657519423e+00, -5.314765534477880919e+02, 1.329235706442740250e+00, -2.424921037330380003e+00, -3.122295209227070156e+00, 6.138092923164367676e+01
1.570159082343358437e+00, -2.547261225287089648e+00, -5.313807389547024513e+02, 1.312000000000000055e+00, -2.422000000000000153e+00, -3.125900000000000123e+00, 6.142420220375061035e+01
1.549339960777660341e+00, -2.551254863297234277e+00, -5.315514665336805820e+02, 1.291389433854891466e+00, -2.421286535627027892e+00, -3.122068479799913199e+00, 6.146731114387512207e+01
1.529457033648949027e+00, -2.556367586163950989e+00, -5.315488778994421182e+02, 1.271608902669333796e+00, -2.422680743553006888e+00, -3.121403432693270474e+00, 6.151174473762512207e+01
1.509833301546068762e+00, -2.561113122368870343e+00, -5.317678786665557027e+02, 1.251551133130388571e+00, -2.423675026066765881e+00, -3.123639040817591805e+00, 6.155630230903625488e+01
1.492525315714873901e+00, -2.565470819093986332e+00, -5.320119379968376734e+02, 1.235707908356668883e+00, -2.424386136787021417e+00, -3.121235986620511049e+00, 6.159963297843933105e+01
1.473382992842279027e+00, -2.569814106160803746e+00, -5.319107488599347562e+02, 1.217999999999999972e+00, -2.423999999999999932e+00, -3.121399999999999952e+00, 6.164217662811279297e+01
1.454017385195803591e+00, -2.574634513373905254e+00, -5.318698628708599472e+02, 1.201726336755732927e+00, -2.425555905654286359e+00, -3.115852541175112567e+00, 6.168515801429748535e+01
1.437456158075737678e+00, -2.578834664836282986e+00, -5.320985419542821546e+02, 1.181167114019377795e+00, -2.427968917343787947e+00, -3.129237035881064166e+00, 6.172861790657043457e+01
1.419157181335755080e+00, -2.583128618912476249e+00, -5.321224769005318649e+02, 1.161509534863890858e+00, -2.431010151100070793e+00, -3.129841497444342480e+00, 6.177155876159667969e+01
